Term	Gene
Astrocytes	CLCN2
Astrocytes	CLDN10
Astrocytes	CLMN
Astrocytes	CLU
Astrocytes	CLUH
Astrocytes	CLYBL
Astrocytes	CMBL
Astrocytes	CML1
Astrocytes	CML3
Astrocytes	CML5
Astrocytes	CMTM5
Astrocytes	CNN1
Astrocytes	CNN3
Astrocytes	CNTF
Astrocytes	COL16A1
Astrocytes	COL4A4
Astrocytes	COL4A5
Astrocytes	COL9A3
Astrocytes	COLGALT2
Astrocytes	COLQ
Astrocytes	COX10
Astrocytes	CPE
Astrocytes	CPEB4
Astrocytes	CPQ
Astrocytes	CR2
Astrocytes	CRB2
Astrocytes	CREB3L4
Astrocytes	CRLF3
Astrocytes	CROT
Astrocytes	CRTC3
Astrocytes	CRY2
Astrocytes	CS
Astrocytes	CSDC2
Astrocytes	CSGALNACT1
Astrocytes	CSPG5
Astrocytes	CSPP1
Astrocytes	CST3
Astrocytes	CTH
Astrocytes	CTNND2
Astrocytes	CTSO
Astrocytes	CXCL14
Astrocytes	CYBRD1
Astrocytes	CYP2D6
Astrocytes	CYP2J2
Astrocytes	CYP4F13
Astrocytes	CYP4F17
Astrocytes	CYP4F2
Astrocytes	CYP51
Astrocytes	CYP7B1
Astrocytes	CYR61
Astrocytes	D030055H07RIK
Astrocytes	D130007C19RIK
Astrocytes	D330041H03RIK
Astrocytes	D630033O11RIK
Astrocytes	DAAM2
Astrocytes	DAB1
Astrocytes	DAG1
Astrocytes	DAPP1
Astrocytes	DAW1
Astrocytes	DBI
Astrocytes	DBT
Astrocytes	DBX2
Astrocytes	DCLK1
Astrocytes	DCLK2
Astrocytes	DDAH1
Astrocytes	DDHD1
Astrocytes	DDIT4L
Astrocytes	DDO
Astrocytes	DECR1
Astrocytes	DENND1A
Astrocytes	DGKB
Astrocytes	DHRS3
Astrocytes	DHTKD1
Astrocytes	DHX35
Astrocytes	DIO2
Astrocytes	DISP3
Astrocytes	DKK3
Astrocytes	DLG5
Astrocytes	DMD
Astrocytes	DMP1
Astrocytes	DMRTA2
Astrocytes	DNAH12
Astrocytes	DNAI1
Astrocytes	DNALI1
Astrocytes	DNER
Astrocytes	DOCK7
Astrocytes	DOK7
Astrocytes	DPF3
Astrocytes	DPY19L3
Astrocytes	DRP2
Astrocytes	DTNA
Astrocytes	DTX1
Astrocytes	DUSP18
Astrocytes	DZIP1
Astrocytes	DZIP1L
Astrocytes	E030010N08RIK
Astrocytes	E130114P18RIK
Astrocytes	E530011L22RIK
Astrocytes	ECHDC2
Astrocytes	ECHDC3
Astrocytes	EDNRB
Astrocytes	EFEMP1
Astrocytes	EFEMP2
Astrocytes	EFHB
Astrocytes	EFS
Astrocytes	EGF
Astrocytes	EGFL6
Astrocytes	EGFR
Astrocytes	EIF2S3Y
Astrocytes	ELF5
Astrocytes	ELMOD3
Astrocytes	ELOVL2
Astrocytes	ELOVL5
Astrocytes	EMC8
Astrocytes	EMP2
Astrocytes	EMX2
Astrocytes	EMX2OS
Astrocytes	ENAH
Astrocytes	ENHO
Astrocytes	ENTPD2
Astrocytes	ENTPD6
Astrocytes	EOGT
Astrocytes	EPB4.1L5
Astrocytes	EPDR1
Astrocytes	EPHX2
Astrocytes	EPO
Astrocytes	EPS8
Astrocytes	ERBB2
Astrocytes	ERV3
Astrocytes	ETNPPL
Astrocytes	ETV4
Astrocytes	EVA1A
Astrocytes	EVC
Astrocytes	EXD1
Astrocytes	EYA1
Astrocytes	EZR
Astrocytes	F3
Astrocytes	F630040K05RIK
Astrocytes	FABP5
Astrocytes	FABP7
Astrocytes	FADS1
Astrocytes	FADS2
Astrocytes	FAM107A
Astrocytes	FAM117A
Astrocytes	FAM13C
Astrocytes	FAM163A
Astrocytes	FAM171B
Astrocytes	FAM181A
Astrocytes	FAM181B
Astrocytes	FAM184A
Astrocytes	FAM198A
Astrocytes	FAM20A
Astrocytes	FAM213A
Astrocytes	FAM216B
Astrocytes	FAM227B
Astrocytes	FAM228A
Astrocytes	FAM228B
Astrocytes	FAM69C
Astrocytes	FAM83B
Astrocytes	FARP1
Astrocytes	FARS2
Astrocytes	FAT1
Astrocytes	FBLN1
Astrocytes	FBXO2
Astrocytes	FBXO30
Astrocytes	FBXO44
Astrocytes	FDFT1
Astrocytes	FERMT2
Astrocytes	FEZF2
Astrocytes	FGD4
Astrocytes	FGD6
Astrocytes	FGF1
Astrocytes	FGF2
Astrocytes	FGFBP3
Astrocytes	FGFR1
Astrocytes	FGFR2
Astrocytes	FGFR3
Astrocytes	FGFRL1
Astrocytes	FICD
Astrocytes	FJX1
Astrocytes	FKBP10
Astrocytes	FMN2
Astrocytes	FMO1
Astrocytes	FMO4
Astrocytes	FMOD
Astrocytes	FNBP1
Astrocytes	FNDC4
Astrocytes	FNDC5
Astrocytes	FOLH1
Astrocytes	FOXG1
Astrocytes	FOXO1
Astrocytes	FPGS
Astrocytes	FRAS1
Astrocytes	FREM1
Astrocytes	FREM2
Astrocytes	FRMPD1
Astrocytes	FSTL1
Astrocytes	FUT9
Astrocytes	FXYD1
Astrocytes	FZD1
Astrocytes	FZD10
Astrocytes	FZD2
Astrocytes	FZD7
Astrocytes	GABBR1
Astrocytes	GABBR2
Astrocytes	GABRA2
Astrocytes	GABRA4
Astrocytes	GABRB1
Astrocytes	GABRG1
Astrocytes	GAD1OS
Astrocytes	GADD45G
Astrocytes	GALE
Astrocytes	GAREM1
Astrocytes	GAREM2
Astrocytes	GAS1
Astrocytes	GCA
Astrocytes	GCKR
Astrocytes	GCNT4
Astrocytes	GDF10
Astrocytes	GDF11
Astrocytes	GDPD2
Astrocytes	GEM
Astrocytes	GFAP
Astrocytes	GGNBP1
Astrocytes	GHR
Astrocytes	GIN1
Astrocytes	GJA1
Astrocytes	GJB2
Astrocytes	GJB6
Astrocytes	GLB1L
Astrocytes	GLDC
Astrocytes	GLI1
Astrocytes	GLI2
Astrocytes	GLI3
Astrocytes	GLIPR2
Astrocytes	GLIS3
Astrocytes	GLUD1
Astrocytes	GLUL
Astrocytes	GLYCAM1
Astrocytes	GM10101
Astrocytes	GM10561
Astrocytes	GM10643
Astrocytes	GM10644
Astrocytes	GM11266
Astrocytes	GM11470
Astrocytes	GM11510
Astrocytes	GM11627
Astrocytes	GM11712
Astrocytes	GM11734
Astrocytes	GM11799
Astrocytes	GM11892
Astrocytes	GM12091
Astrocytes	GM12176
Astrocytes	GM12224
Astrocytes	GM12289
Astrocytes	GM12963
Astrocytes	GM13110
Astrocytes	GM13111
Astrocytes	GM13213
Astrocytes	GM13270
Astrocytes	GM13322
Astrocytes	GM13325
Astrocytes	GM13388
Astrocytes	GM13590
Astrocytes	GM13872
Astrocytes	GM14123
Astrocytes	GM14230
Astrocytes	GM14762
Astrocytes	GM14858
Astrocytes	GM14964
Astrocytes	GM15197
Astrocytes	GM15344
Astrocytes	GM15506
Astrocytes	GM15601
Astrocytes	GM15712
Astrocytes	GM15777
Astrocytes	GM15788
Astrocytes	GM15893
Astrocytes	GM16008
Astrocytes	GM16041
Astrocytes	GM16153
Astrocytes	GM16213
Astrocytes	GM16231
Astrocytes	GM16299
Astrocytes	GM166
Astrocytes	GM1698
Astrocytes	GM16984
Astrocytes	GM17024
Astrocytes	GM17100
Astrocytes	GM17690
Astrocytes	GM17750
Astrocytes	GM18300
Astrocytes	GM20501
Astrocytes	GM20515
Astrocytes	GM20743
Astrocytes	GM20939
Astrocytes	GM21807
Astrocytes	GM21816
Astrocytes	GM21954
Astrocytes	GM22637
Astrocytes	GM25641
Astrocytes	GM26512
Astrocytes	GM26523
Astrocytes	GM26530
Astrocytes	GM26578
Astrocytes	GM266
Astrocytes	GM26603
Astrocytes	GM26621
Astrocytes	GM26645
Astrocytes	GM26671
Astrocytes	GM26703
Astrocytes	GM26721
Astrocytes	GM26779
Astrocytes	GM26802
Astrocytes	GM26843
Astrocytes	GM26850
Astrocytes	GM27010
Astrocytes	GM27202
Astrocytes	GM27209
Astrocytes	GM27544
Astrocytes	GM28447
Astrocytes	GM28523
Astrocytes	GM28686
Astrocytes	GM29260
Astrocytes	GM29367
Astrocytes	GM29508
Astrocytes	GM32200
Astrocytes	GM36944
Astrocytes	GM36962
Astrocytes	GM37011
Astrocytes	GM37069
Astrocytes	GM37079
Astrocytes	GM37090
Astrocytes	GM37107
Astrocytes	GM37163
Astrocytes	GM37205
Astrocytes	GM37219
Astrocytes	GM37250
Astrocytes	GM37258
Astrocytes	GM37310
Astrocytes	GM37311
Astrocytes	GM37326
Astrocytes	GM37403
Astrocytes	GM37419
Astrocytes	GM37423
Astrocytes	GM37504
Astrocytes	GM37562
Astrocytes	GM37571
Astrocytes	GM3764
Astrocytes	GM37643
Astrocytes	GM37648
Astrocytes	GM37664
Astrocytes	GM37679
Astrocytes	GM37694
Astrocytes	GM37696
Astrocytes	GM37770
Astrocytes	GM37805
Astrocytes	GM37843
Astrocytes	GM37969
Astrocytes	GM38031
Astrocytes	GM38042
Astrocytes	GM38218
Astrocytes	GM38255
Astrocytes	GM38348
Astrocytes	GM38351
Astrocytes	GM38375
Astrocytes	GM4491
Astrocytes	GM4707
Astrocytes	GM5083
Astrocytes	GM5084
Astrocytes	GM5089
Astrocytes	GM5607
Astrocytes	GM6185
Astrocytes	GM6556
Astrocytes	GM7221
Astrocytes	GM7967
Astrocytes	GM8378
Astrocytes	GM8425
Astrocytes	GM9750
Astrocytes	GM9881
Astrocytes	GM9884
Astrocytes	GM9915
Astrocytes	GM9925
Astrocytes	GM9938
Astrocytes	GM9956
Astrocytes	GNA13
Astrocytes	GNAO1
Astrocytes	GNG12
Astrocytes	GPAM
Astrocytes	GPC4
Astrocytes	GPC5
Astrocytes	GPC6
Astrocytes	GPLD1
Astrocytes	GPM6A
Astrocytes	GPM6B
Astrocytes	GPR156
Astrocytes	GPR179
Astrocytes	GPR19
Astrocytes	GPR37
Astrocytes	GPR37L1
Astrocytes	GPRC5D
Astrocytes	GPT
Astrocytes	GPX8
Astrocytes	GRAMD1C
Astrocytes	GRAMD3
Astrocytes	GRAMD4
Astrocytes	GREB1
Astrocytes	GRHL1
Astrocytes	GRIA2
Astrocytes	GRID2
Astrocytes	GRIN2C
Astrocytes	GRK3
Astrocytes	GRM3
Astrocytes	GRTP1
Astrocytes	GSAP
Astrocytes	GSTM1
Astrocytes	GSTM3
Astrocytes	GSTM6
Astrocytes	GSTZ1
Astrocytes	GULP1
Astrocytes	GYK
Astrocytes	GYS1
Astrocytes	HACD2
Astrocytes	HACD3
Astrocytes	HAPLN1
Astrocytes	HDAC8
Astrocytes	HECTD2
Astrocytes	HEPACAM
Astrocytes	HEPH
Astrocytes	HERC6
Astrocytes	HES1
Astrocytes	HES5
Astrocytes	HEY1
Astrocytes	HGF
Astrocytes	HHATL
Astrocytes	HHIPL1
Astrocytes	HIBCH
Astrocytes	HIF3A
Astrocytes	HLF
Astrocytes	HMGCR
Astrocytes	HMGCS1
Astrocytes	HMGN3
Astrocytes	HOPX
Astrocytes	HRH1
Astrocytes	HRSP12
Astrocytes	HS3ST3A1
Astrocytes	HSD11B1
Astrocytes	HSD3B7
Astrocytes	HSDL2
Astrocytes	HSPA2
Astrocytes	HSPB8
Astrocytes	HTRA1
Astrocytes	ID1
Astrocytes	ID2
Astrocytes	ID3
Astrocytes	ID4
Astrocytes	IDI1
Astrocytes	IDUA
Astrocytes	IGDCC3
Astrocytes	IGDCC4
Astrocytes	IGFBP2
Astrocytes	IGFBP5
Astrocytes	IGSF1
Astrocytes	IGSF11
Astrocytes	IGSF3
Astrocytes	IKBIP
Astrocytes	IKZF2
Astrocytes	IL15RA
Astrocytes	IL17RD
Astrocytes	IL18
Astrocytes	IL33
Astrocytes	IMPA2
Astrocytes	IMPG2
Astrocytes	INHBB
Astrocytes	INTU
Astrocytes	IQUB
Astrocytes	IRAK2
Astrocytes	ISLR
Astrocytes	ITGA2
Astrocytes	ITGA6
Astrocytes	ITGA7
Astrocytes	ITGB5
Astrocytes	ITGB8
Astrocytes	ITIH3
Astrocytes	ITSN1
Astrocytes	IVD
Astrocytes	KANK1
Astrocytes	KCNA2
Astrocytes	KCNE5
Astrocytes	KCNG4
Astrocytes	KCNIP3
Astrocytes	KCNJ10
Astrocytes	KCNJ13
Astrocytes	KCNJ16
Astrocytes	KCNK1
Astrocytes	KCNK10
Astrocytes	KCNK2
Astrocytes	KCNN2
Astrocytes	KCNN3
Astrocytes	KCTD14
Astrocytes	KCTD15
Astrocytes	KIAA0408
Astrocytes	KIAA1161
Astrocytes	KIAA1210
Astrocytes	KIAA1324L
Astrocytes	KIAA1755
Astrocytes	KIAA2012
Astrocytes	KIFC3
Astrocytes	KIRREL2
Astrocytes	KIRREL3OS
Astrocytes	KLF15
Astrocytes	KLHDC7A
Astrocytes	KLRI1
Astrocytes	KMT2C
Astrocytes	LAMA2
Astrocytes	LCAT
Astrocytes	LDHB
Astrocytes	LENG8
Astrocytes	LFNG
Astrocytes	LGALS12
Astrocytes	LGALS4
Astrocytes	LGI4
Astrocytes	LGR4
Astrocytes	LGR6
Astrocytes	LHCGR
Astrocytes	LHFP
Astrocytes	LHX2
Astrocytes	LINGO4
Astrocytes	LIPG
Astrocytes	LIX1
Astrocytes	LONRF3
Astrocytes	LOXL3
Astrocytes	LPAR4
Astrocytes	LPIN3
Astrocytes	LPP
Astrocytes	LRIG1
Astrocytes	LRP1
Astrocytes	LRP4
Astrocytes	LRRC2
Astrocytes	LRRC23
Astrocytes	LRRC51
Astrocytes	LRRC74B
Astrocytes	LRRC9
Astrocytes	LSAMP
Astrocytes	LTBP1
Astrocytes	LUZP2
Astrocytes	LXN
Astrocytes	MAGI3
Astrocytes	MALAT1
Astrocytes	MAMDC2
Astrocytes	MAML2
Astrocytes	MAOB
Astrocytes	MAP3K19
Astrocytes	MAP7D3
Astrocytes	MAPK4
Astrocytes	MBOAT2
Astrocytes	MCC
Astrocytes	MCCC1OS
Astrocytes	MCRIP2
Astrocytes	MCUR1
Astrocytes	MDK
Astrocytes	ME1
Astrocytes	MEGF10
Astrocytes	MEIS2
Astrocytes	MERTK
Astrocytes	METRNL
Astrocytes	METTL11B
Astrocytes	METTL21B
Astrocytes	METTL24
Astrocytes	MFAP3L
Astrocytes	MFGE8
Astrocytes	MFN1
Astrocytes	MGLL
Astrocytes	MGST1
Astrocytes	MID2
Astrocytes	MIR124-2HG
Astrocytes	MIR135A-2
Astrocytes	MIR22HG
Astrocytes	MIR3093
Astrocytes	MIR6377
Astrocytes	MIR6390
Astrocytes	MIR99AHG
Astrocytes	MLC1
Astrocytes	MMD2
Astrocytes	MMGT2
Astrocytes	MMP14
Astrocytes	MPP6
Astrocytes	MR1
Astrocytes	MRAS
Astrocytes	MRO
Astrocytes	MSI1
Astrocytes	MSI2
Astrocytes	MSMO1
Astrocytes	MSX2
Astrocytes	MT1E
Astrocytes	MT1X
Astrocytes	MT3
Astrocytes	MTMR11
Astrocytes	MTSS1L
Astrocytes	MTX3
Astrocytes	MVD
Astrocytes	MYH15
Astrocytes	MYH6
Astrocytes	MYLK2
Astrocytes	MYO10
Astrocytes	MYO19
Astrocytes	MYO6
Astrocytes	MYOC
Astrocytes	MYOM3
Astrocytes	NAAA
Astrocytes	NADK2
Astrocytes	NADSYN1
Astrocytes	NAPRT
Astrocytes	NAT8
Astrocytes	NCAM1
Astrocytes	NCAN
Astrocytes	NCKAP5
Astrocytes	NDP
Astrocytes	NDRG2
Astrocytes	NEBL
Astrocytes	NEDD9
Astrocytes	NEK5
Astrocytes	NEK8
Astrocytes	NFIA
Astrocytes	NGEF
Astrocytes	NHSL1
Astrocytes	NIM1K
Astrocytes	NKAIN4
Astrocytes	NLGN1
Astrocytes	NLN
Astrocytes	NME7
Astrocytes	NOTCH1
Astrocytes	NOTCH2
Astrocytes	NOTCH3
Astrocytes	NPAS2
Astrocytes	NPAS3
Astrocytes	NPHP3
Astrocytes	NPHS1
Astrocytes	NPR2
Astrocytes	NQO1
Astrocytes	NR1D1
Astrocytes	NR1H3
Astrocytes	NR2E1
Astrocytes	NR2F1
Astrocytes	NRCAM
Astrocytes	NRXN1
Astrocytes	NSDHL
Astrocytes	NTM
Astrocytes	NTRK2
Astrocytes	NTSR2
Astrocytes	NUDT12
Astrocytes	NWD1
Astrocytes	NXPE4
Astrocytes	OACYL
Astrocytes	OAF
Astrocytes	OAT
Astrocytes	OCRL
Astrocytes	ODF3
Astrocytes	ODF3L1
Astrocytes	OLFML1
Astrocytes	OLFML2A
Astrocytes	OLFR57
Astrocytes	OMG
Astrocytes	OPLAH
Astrocytes	OR10AD1
Astrocytes	OTX1
Astrocytes	OVOL1
Astrocytes	P4HA2
Astrocytes	P4HA3
Astrocytes	PACRG
Astrocytes	PACSIN3
Astrocytes	PAFAH2
Astrocytes	PALLD
Astrocytes	PAMR1
Astrocytes	PANK1
Astrocytes	PANTR1
Astrocytes	PANTR2
Astrocytes	PAPSS2
Astrocytes	PAQR4
Astrocytes	PAQR6
Astrocytes	PAQR7
Astrocytes	PAQR8
Astrocytes	PARD3B
Astrocytes	PARP3
Astrocytes	PAX4
Astrocytes	PAX6
Astrocytes	PAX6OS1
Astrocytes	PBX1
Astrocytes	PBXIP1
Astrocytes	PCDH10
Astrocytes	PCDH7
Astrocytes	PCDHGA3
Astrocytes	PCDHGB5
Astrocytes	PCDHGC5
Astrocytes	PCSK6
Astrocytes	PDE3A
Astrocytes	PDE6B
Astrocytes	PDE9A
Astrocytes	PDGFRB
Astrocytes	PDGFRL
Astrocytes	PDK2
Astrocytes	PDK4
Astrocytes	PDLIM4
Astrocytes	PDP2
Astrocytes	PDPN
Astrocytes	PDZPH1
Astrocytes	PDZRN3
Astrocytes	PER3
Astrocytes	PEX11A
Astrocytes	PFAS
Astrocytes	PFKFB1
Astrocytes	PFKFB4
Astrocytes	PFKM
Astrocytes	PGM1
Astrocytes	PHACTR3
Astrocytes	PHF21B
Astrocytes	PHGDH
Astrocytes	PHKA1
Astrocytes	PHKB
Astrocytes	PHKG1
Astrocytes	PHYHIPL
Astrocytes	PIGL
Astrocytes	PIGS
Astrocytes	PITPNC1
Astrocytes	PLA2G16
Astrocytes	PLA2G3
Astrocytes	PLA2G5
Astrocytes	PLA2G7
Astrocytes	PLAGL1
Astrocytes	PLCD4
Astrocytes	PLCH1
Astrocytes	PLD2
Astrocytes	PLEKHF2
Astrocytes	PLN
Astrocytes	PLOD2
Astrocytes	PLSCR1
Astrocytes	PLSCR4
Astrocytes	PLXNB1
Astrocytes	PM20D1
Astrocytes	PMM1
Astrocytes	PNISR
Astrocytes	PNPLA3
Astrocytes	POLR3H
Astrocytes	PON2
Astrocytes	POU3F2
Astrocytes	POU3F3
Astrocytes	POU3F4
Astrocytes	PPAP2B
Astrocytes	PPARA
Astrocytes	PPARGC1A
Astrocytes	PPIL6
Astrocytes	PPP1R32
Astrocytes	PPP1R3C
Astrocytes	PPP1R3G
Astrocytes	PPP2R2B
Astrocytes	PRDM16
Astrocytes	PRDX6
Astrocytes	PRELID3A
Astrocytes	PRELP
Astrocytes	PREX2
Astrocytes	PRKCD
Astrocytes	PRKD1
Astrocytes	PRNP
Astrocytes	PROCA1
Astrocytes	PRODH
Astrocytes	PRR5
Astrocytes	PRRX1
Astrocytes	PRRX2
Astrocytes	PRSS56
Astrocytes	PSAT1
Astrocytes	PSD2
Astrocytes	PSPH
Astrocytes	PSTK
Astrocytes	PTCH1
Astrocytes	PTCHD4
Astrocytes	PTN
Astrocytes	PTPN13
Astrocytes	PTPRF
Astrocytes	PTPRT
Astrocytes	PTPRZ1
Astrocytes	PTX3
Astrocytes	PVRL3
Astrocytes	PXDN
Astrocytes	PXMP2
Astrocytes	PYGB
Astrocytes	PYGL
Astrocytes	PYURF
Astrocytes	RAB30
Astrocytes	RAB34
Astrocytes	RAMP1
Astrocytes	RANBP3L
Astrocytes	RAPGEF3
Astrocytes	RAPGEF3OS2
Astrocytes	RARRES1
Astrocytes	RARRES2
Astrocytes	RASA2
Astrocytes	RASSF10
Astrocytes	RAVER2
Astrocytes	RB1
Astrocytes	RBM20
Astrocytes	RBP1
Astrocytes	RBPMS2
Astrocytes	RCN2
Astrocytes	RDH10
Astrocytes	RDH5
Astrocytes	RECQL5
Astrocytes	RETSAT
Astrocytes	RFTN2
Astrocytes	RFX2
Astrocytes	RFX3
Astrocytes	RFX4
Astrocytes	RGCC
Astrocytes	RGMA
Astrocytes	RGS20
Astrocytes	RGS7
Astrocytes	RHBDF1
Astrocytes	RHOBTB3
Astrocytes	RIMKLB
Astrocytes	RLBP1
Astrocytes	RMST
Astrocytes	RNASE1
Astrocytes	RNF180
Astrocytes	RNF182
Astrocytes	RNF215
Astrocytes	RNFT1
Astrocytes	RNU6-261P
Astrocytes	RORA
Astrocytes	RORB
Astrocytes	RP23-102H7.9
Astrocytes	RP23-111M12.2
Astrocytes	RP23-114F4.3
Astrocytes	RP23-171F16.5
Astrocytes	RP23-195B3.5
Astrocytes	RP23-195B3.6
Astrocytes	RP23-200E11.1
Astrocytes	RP23-265F20.14
Astrocytes	RP23-287M3.2
Astrocytes	RP23-369O21.1
Astrocytes	RP23-372C7.4
Astrocytes	RP23-373G12.1
Astrocytes	RP23-385G21.3
Astrocytes	RP23-387F14.1
Astrocytes	RP23-394P9.1
Astrocytes	RP23-441I24.5
Astrocytes	RP23-458G12.4
Astrocytes	RP23-461P7.1
Astrocytes	RP23-469H5.5
Astrocytes	RP23-77D22.2
